date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:29	18773/18773	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:34%20GMT	http://www.geojeyouth.com/web/biz2_list	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/biz2_list.html	(from http://www.geojeyouth.com/web/)
00:11:30	35423/35423	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:34%20GMT	http://www.geojeyouth.com/web/biz_3	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/biz_3.html	(from http://www.geojeyouth.com/web/)
00:11:30	17790/17790	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:34%20GMT	http://www.geojeyouth.com/web/room_2	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/room_2.html	(from http://www.geojeyouth.com/web/)
00:11:30	25878/25878	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:34%20GMT	http://www.geojeyouth.com/web/bbs_list?bbs=gongji	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/bbs_listc160.html	(from http://www.geojeyouth.com/web/)
00:11:31	14506/14506	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:35%20GMT	http://www.geojeyouth.com/web/bbs_list?bbs=free	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/bbs_listef52.html	(from http://www.geojeyouth.com/web/)
00:11:31	100576/100576	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:34%20GMT	http://www.geojeyouth.com/web/room_3	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/room_3.html	(from http://www.geojeyouth.com/web/)
00:11:31	19091/19091	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:35%20GMT	http://www.geojeyouth.com/web/photo_list?bbs=gall	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/photo_list1508.html	(from http://www.geojeyouth.com/web/)
00:11:31	26075/26075	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:35%20GMT	http://www.geojeyouth.com/web/bbs_list?bbs=news	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/bbs_listd584.html	(from http://www.geojeyouth.com/web/)
00:11:31	14288/14288	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:35%20GMT	http://www.geojeyouth.com/web/vod_list?bbs=vod	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/vod_list5fa2.html	(from http://www.geojeyouth.com/web/)
00:11:31	14918/14918	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:36%20GMT	http://www.geojeyouth.com/web/login	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/login.html	(from http://www.geojeyouth.com/web/)
00:11:32	33589/33589	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:36%20GMT	http://www.geojeyouth.com/web/register	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/register.html	(from http://www.geojeyouth.com/web/)
00:11:32	235199/235199	---M--	200	added ('OK')	image/jpeg	etag:%22396bf-5af48c7754dc8%22	http://www.geojeyouth.com/upload/banner/banner_1_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/banner_1_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:34	170535/170535	---M--	200	added ('OK')	image/jpeg	etag:%2229a27-5af48c77551b0%22	http://www.geojeyouth.com/upload/banner/bannerm_1_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/bannerm_1_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:34	150105/150105	---M--	200	added ('OK')	image/jpeg	etag:%2224a59-5af48cae47060%22	http://www.geojeyouth.com/upload/banner/banner_2_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/banner_2_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:35	167608/167608	---M--	200	added ('OK')	image/jpeg	etag:%2228eb8-5af48cae47448%22	http://www.geojeyouth.com/upload/banner/bannerm_2_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/bannerm_2_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
